════════════════════════════════════════════════════════════════════════════════════════════════════════════════
                              ENCUENTRO MULTIDISCIPLINARIO VÓRTICE 2025
                                    LISTA DE PARTICIPANTES
                                Generado: 30/09/2025 22:12:12
════════════════════════════════════════════════════════════════════════════════════════════════════════════════


▼ RAYANDO-ANDO - 120/120 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20208528 | Ana Laura Díaz Jiménez              | Diseño Gráfico            | Femenino   | Sem: 10 | Rayando-Ando
  A20025710 | Ana Laura Díaz Martínez             | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 10 | Rayando-Ando
  A20187589 | Ana Laura Martínez Torres           | Diseño Gráfico            | Femenino   | Sem: 1 | Rayando-Ando
  A20247176 | Ana Laura Pérez Ortiz               | Diseño Gráfico            | Femenino   | Sem: 7 | Rayando-Ando
  A20214472 | Andrea Carolina Castillo Jiménez    | Ingeniería Civil          | Femenino   | Sem: 3 | Rayando-Ando
  A20215666 | Andrea Carolina Gómez López         | Diseño Gráfico            | Femenino   | Sem: 7 | Rayando-Ando
  A20154378 | Andrea Carolina Ortiz Cruz          | Derecho                   | Femenino   | Sem: 9 | Rayando-Ando
  A20106729 | Andrea Carolina Ortiz Torres        | Diseño Gráfico            | Femenino   | Sem: 10 | Rayando-Ando
  A20072812 | Andrea Carolina Sánchez Castillo    | Psicología                | Femenino   | Sem: 5 | Rayando-Ando
  A20182403 | Arturo Ramón Castillo González      | Ingeniería Industrial     | Masculino  | Sem: 5 | Rayando-Ando
  A20009348 | Arturo Ramón Hernández Rivera       | Administración de Empresas | Masculino  | Sem: 10 | Rayando-Ando
  A20181739 | Arturo Ramón Mendoza Martínez       | Ingeniería Mecatrónica    | Masculino  | Sem: 6 | Rayando-Ando
  A20099212 | Arturo Ramón Morales Martínez       | Psicología                | Masculino  | Sem: 9 | Rayando-Ando
  A20137403 | Arturo Ramón Ortiz Cruz             | Ingeniería Civil          | Masculino  | Sem: 10 | Rayando-Ando
  A20009907 | Carlos Alberto García Ortiz         | Ingeniería Mecatrónica    | Masculino  | Sem: 6 | Rayando-Ando
  A20142042 | Carlos Alberto Morales Jiménez      | Diseño Gráfico            | Masculino  | Sem: 5 | Rayando-Ando
  A20077683 | Carlos Alberto Ortiz Martínez       | Ingeniería Mecatrónica    | Masculino  | Sem: 10 | Rayando-Ando
  A20129166 | Carlos Alberto Pérez Sánchez        | Administración de Empresas | Masculino  | Sem: 8 | Rayando-Ando
  A20224856 | Carlos Alberto Reyes Sánchez        | Diseño Gráfico            | Masculino  | Sem: 3 | Rayando-Ando
  A20072301 | Carmen Rosa Álvarez Rivera          | Derecho                   | Femenino   | Sem: 5 | Rayando-Ando
  A20119239 | Carmen Rosa Mendoza Martínez        | Ingeniería Mecatrónica    | Femenino   | Sem: 1 | Rayando-Ando
  A20065756 | Carmen Rosa Rivera Flores           | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 4 | Rayando-Ando
  A20187488 | Carmen Rosa Torres Rivera           | Contaduría Pública        | Femenino   | Sem: 1 | Rayando-Ando
  A20165286 | Carolina Daniela González Ortiz     | Ingeniería Mecatrónica    | Femenino   | Sem: 7 | Rayando-Ando
  A20236672 | Carolina Daniela Jiménez Morales    | Psicología                | Femenino   | Sem: 9 | Rayando-Ando
  A20111985 | Carolina Daniela Rodríguez Hernández | Ingeniería Civil          | Femenino   | Sem: 1 | Rayando-Ando
  A20154100 | Daniel Alejandro Díaz Flores        | Diseño Gráfico            | Masculino  | Sem: 1 | Rayando-Ando
  A20135499 | Daniel Alejandro Gutiérrez Díaz     | Ingeniería Industrial     | Masculino  | Sem: 6 | Rayando-Ando
  A20038165 | Daniel Alejandro Martínez Díaz      | Ingeniería Mecatrónica    | Masculino  | Sem: 8 | Rayando-Ando
  A20187010 | Daniela Gabriela Cruz Rivera        | Ingeniería Industrial     | Femenino   | Sem: 2 | Rayando-Ando
  A20180331 | Daniela Gabriela Gutiérrez Castillo | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 3 | Rayando-Ando
  A20200753 | Daniela Gabriela López Rodríguez    | Derecho                   | Femenino   | Sem: 7 | Rayando-Ando
  A20205379 | Daniela Gabriela Ruiz Ortiz         | Arquitectura              | Femenino   | Sem: 9 | Rayando-Ando
  A20243480 | Daniela Gabriela Ruiz Rivera        | Ingeniería Industrial     | Femenino   | Sem: 8 | Rayando-Ando
  A20161234 | Eduardo Manuel López Flores         | Arquitectura              | Masculino  | Sem: 10 | Rayando-Ando
  A20153434 | Eduardo Manuel Ortiz López          | Contaduría Pública        | Masculino  | Sem: 5 | Rayando-Ando
  A20195720 | Eduardo Manuel Rodríguez Torres     | Psicología                | Masculino  | Sem: 6 | Rayando-Ando
  A20043407 | Elena Sofía González Hernández      | Administración de Empresas | Femenino   | Sem: 10 | Rayando-Ando
  A20205270 | Elena Sofía López Cruz              | Derecho                   | Femenino   | Sem: 4 | Rayando-Ando
  A20039614 | Elena Sofía López Gutiérrez         | Derecho                   | Femenino   | Sem: 4 | Rayando-Ando
  A20214426 | Elena Sofía Reyes González          | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 10 | Rayando-Ando
  A20179415 | Fernanda Alejandra Castillo Ramírez | Contaduría Pública        | Femenino   | Sem: 1 | Rayando-Ando
  A20143111 | Fernanda Alejandra Gómez Gómez      | Psicología                | Femenino   | Sem: 10 | Rayando-Ando
  A20114635 | Fernanda Alejandra Martínez Gutiérrez | Arquitectura              | Femenino   | Sem: 2 | Rayando-Ando
  A20153462 | Fernanda Alejandra Pérez González   | Derecho                   | Femenino   | Sem: 7 | Rayando-Ando
  A20152192 | Fernanda Alejandra Rodríguez Morales | Ingeniería Civil          | Femenino   | Sem: 2 | Rayando-Ando
  A20162650 | Fernando José Gómez Martínez        | Psicología                | Masculino  | Sem: 7 | Rayando-Ando
  A20036530 | Fernando José Rodríguez Pérez       | Ingeniería en Sistemas Computacionales | Masculino  | Sem: 6 | Rayando-Ando
  A20049711 | Francisco Javier Cruz Álvarez       | Administración de Empresas | Masculino  | Sem: 4 | Rayando-Ando
  A20114348 | Francisco Javier Díaz Pérez         | Ingeniería Civil          | Masculino  | Sem: 3 | Rayando-Ando
  A20002966 | Francisco Javier Flores Rodríguez   | Administración de Empresas | Masculino  | Sem: 2 | Rayando-Ando
