════════════════════════════════════════════════════════════════════════════════════════════════════════════════
                              ENCUENTRO MULTIDISCIPLINARIO VÓRTICE 2025
                                    LISTA DE PARTICIPANTES
                                Generado: 30/09/2025 22:20:05
════════════════════════════════════════════════════════════════════════════════════════════════════════════════


▼ RAYANDO-ANDO - 120/120 inscritos
────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  A20118588 | Ana Laura Díaz Hernández            | Contaduría Pública        | Femenino   | Sem: 8 | Rayando-Ando
  A20054491 | Ana Laura Díaz Martínez             | Ingeniería Civil          | Femenino   | Sem: 10 | Rayando-Ando
  A20019241 | Ana Laura López Hernández           | Derecho                   | Femenino   | Sem: 5 | Rayando-Ando
  A20093350 | Ana Laura Mendoza Álvarez           | Contaduría Pública        | Femenino   | Sem: 8 | Rayando-Ando
  A20133780 | Ana Laura Mendoza Reyes             | Psicología                | Femenino   | Sem: 3 | Rayando-Ando
  A20230064 | Ana Laura Morales Mendoza           | Diseño Gráfico            | Femenino   | Sem: 7 | Rayando-Ando
  A20130532 | Ana Laura Pérez Cruz                | Ingeniería Civil          | Femenino   | Sem: 9 | Rayando-Ando
  A20161018 | Ana Laura Ruiz Gómez                | Ingeniería Industrial     | Femenino   | Sem: 4 | Rayando-Ando
  A20238630 | Andrea Carolina Castillo Castillo   | Ingeniería Mecatrónica    | Femenino   | Sem: 9 | Rayando-Ando
  A20191607 | Andrea Carolina Mendoza Ruiz        | Administración de Empresas | Femenino   | Sem: 2 | Rayando-Ando
  A20149195 | Andrea Carolina Ramírez García      | Psicología                | Femenino   | Sem: 6 | Rayando-Ando
  A20112065 | Arturo Ramón Ruiz García            | Ingeniería Industrial     | Masculino  | Sem: 9 | Rayando-Ando
  A20020323 | Arturo Ramón Ruiz Sánchez           | Psicología                | Masculino  | Sem: 7 | Rayando-Ando
  A20116335 | Carlos Alberto Flores Castillo      | Administración de Empresas | Masculino  | Sem: 3 | Rayando-Ando
  A20197892 | Carlos Alberto Martínez Ortiz       | Diseño Gráfico            | Masculino  | Sem: 4 | Rayando-Ando
  A20081067 | Carlos Alberto Ortiz García         | Derecho                   | Masculino  | Sem: 4 | Rayando-Ando
  A20166409 | Carlos Alberto Torres González      | Contaduría Pública        | Masculino  | Sem: 1 | Rayando-Ando
  A20083454 | Carmen Rosa García Cruz             | Administración de Empresas | Femenino   | Sem: 4 | Rayando-Ando
  A20212497 | Carmen Rosa García Ortiz            | Derecho                   | Femenino   | Sem: 7 | Rayando-Ando
  A20225968 | Carmen Rosa González Sánchez        | Arquitectura              | Femenino   | Sem: 4 | Rayando-Ando
  A20218604 | Carmen Rosa Hernández Cruz          | Ingeniería Industrial     | Femenino   | Sem: 10 | Rayando-Ando
  A20003718 | Carmen Rosa Ortiz Díaz              | Arquitectura              | Femenino   | Sem: 9 | Rayando-Ando
  A20122341 | Carolina Daniela Flores Reyes       | Derecho                   | Femenino   | Sem: 3 | Rayando-Ando
  A20143229 | Carolina Daniela García Ramírez     | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 6 | Rayando-Ando
  A20061988 | Carolina Daniela Gómez Mendoza      | Ingeniería Civil          | Femenino   | Sem: 8 | Rayando-Ando
  A20044477 | Carolina Daniela Mendoza Álvarez    | Administración de Empresas | Femenino   | Sem: 4 | Rayando-Ando
  A20134742 | Daniel Alejandro Castillo Jiménez   | Arquitectura              | Masculino  | Sem: 2 | Rayando-Ando
  A20239262 | Daniel Alejandro Gómez Ortiz        | Ingeniería Industrial     | Masculino  | Sem: 7 | Rayando-Ando
  A20087800 | Daniel Alejandro González Ramírez   | Psicología                | Masculino  | Sem: 3 | Rayando-Ando
  A20156557 | Daniel Alejandro Jiménez Díaz       | Psicología                | Masculino  | Sem: 3 | Rayando-Ando
  A20171564 | Daniel Alejandro Ramírez García     | Contaduría Pública        | Masculino  | Sem: 1 | Rayando-Ando
  A20092675 | Daniel Alejandro Rivera Castillo    | Ingeniería Industrial     | Masculino  | Sem: 8 | Rayando-Ando
  A20220167 | Daniela Gabriela Díaz Jiménez       | Diseño Gráfico            | Femenino   | Sem: 5 | Rayando-Ando
  A20059141 | Daniela Gabriela Hernández González | Ingeniería Civil          | Femenino   | Sem: 8 | Rayando-Ando
  A20053309 | Daniela Gabriela López Flores       | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 4 | Rayando-Ando
  A20038269 | Daniela Gabriela Mendoza Álvarez    | Diseño Gráfico            | Femenino   | Sem: 2 | Rayando-Ando
  A20145639 | Eduardo Manuel Álvarez Reyes        | Psicología                | Masculino  | Sem: 7 | Rayando-Ando
  A20154905 | Eduardo Manuel Cruz Díaz            | Administración de Empresas | Masculino  | Sem: 1 | Rayando-Ando
  A20160088 | Eduardo Manuel Gutiérrez García     | Ingeniería Mecatrónica    | Masculino  | Sem: 10 | Rayando-Ando
  A20135186 | Eduardo Manuel Rodríguez Morales    | Ingeniería Industrial     | Masculino  | Sem: 6 | Rayando-Ando
  A20010673 | Eduardo Manuel Torres Ruiz          | Arquitectura              | Masculino  | Sem: 1 | Rayando-Ando
  A20244132 | Elena Sofía Cruz Flores             | Ingeniería Industrial     | Femenino   | Sem: 8 | Rayando-Ando
  A20033131 | Elena Sofía Gutiérrez Gómez         | Ingeniería Mecatrónica    | Femenino   | Sem: 5 | Rayando-Ando
  A20079297 | Elena Sofía Hernández Hernández     | Diseño Gráfico            | Femenino   | Sem: 6 | Rayando-Ando
  A20023462 | Elena Sofía Torres Reyes            | Diseño Gráfico            | Femenino   | Sem: 3 | Rayando-Ando
  A20080847 | Fernanda Alejandra Castillo López   | Ingeniería Civil          | Femenino   | Sem: 9 | Rayando-Ando
  A20044444 | Fernanda Alejandra López Morales    | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 10 | Rayando-Ando
  A20215786 | Fernanda Alejandra Sánchez Pérez    | Ingeniería en Sistemas Computacionales | Femenino   | Sem: 2 | Rayando-Ando
  A20246996 | Fernando José Flores Jiménez        | Arquitectura              | Masculino  | Sem: 9 | Rayando-Ando
  A20117874 | Fernando José López Rivera          | Psicología                | Masculino  | Sem: 1 | Rayando-Ando
  A20136762 | Fernando José Rivera González       | Psicología                | Masculino  | Sem: 6 | Rayando-Ando
  A20189798 | Francisco Javier Jiménez Ruiz       | Ingeniería Civil          | Masculino  | Sem: 9 | Rayando-Ando
  A20223769 | Francisco Javier Martínez López     | Ingeniería Mecatrónica    | Masculino  | Sem: 6 | Rayando-Ando
  A20014205 | Francisco Javier Mendoza Hernández  | Arquitectura              | Masculino  | Sem: 3 | Rayando-Ando
  A20174110 | Francisco Javier Ortiz González     | Contaduría Pública        | Masculino  | Sem: 4 | Rayando-Ando
  A20241366 | Francisco Javier Rodríguez Gómez    | Diseño Gráfico            | Masculino  | Sem: 3 | Rayando-Ando
  A20033086 | Gabriela Fernanda Castillo Hernández | Ingeniería Industrial     | Femenino   | Sem: 2 | Rayando-Ando
